"type","title","content","agency_ein","has_appeals_language"
"denial","Denied - Duplicate Request","<span class=""mceNonEditable"">The records were previously requested by you and are being denied as a duplicate request </span><span class=""mceEditable"">[DUPLICATE FOIL REQUEST #]</span>.","0056","True"
"denial","Denied - Refer to Personnel Bureau","In regard to the employment records which you requested, these documents should be requested directly from the New York City Police Department's Personnel Bureau, Director of Payroll & Benefits Division, 90 Church Street, 12th Floor, New York, NY 10007.","0056","True"
"denial","Denied - Refer to Medical Division","In regard to the medical records which you requested, these documents should be requested directly from the New York City Police Department's Medical Division, 1 Lefrak City Plaza, 59-17 Junction Boulevard, Corona, NY 11368.","0056","True"
"denial","Denied - Endanger (§82(2)(f))","In regard to the document(s) which you requested. I must deny access to these records on the basis of Public Officers Law Section 87(2)(f) as such records/information would endanger the life or safety of any person.","0056","True"
"denial","Denied - Refer to Agency/Agencies","For the following requested item(s), I must refer you to the appropriate agency/agencies or unit that may be in possession of such documents:<p class=""mceEditable""></p>","0056","True"
"denial","Denied - Interrogatory","The Freedom of information Law allows access to documents reasonably described, not answers to interrogatories. Therefore, I am unable to process your request.","0056","True"
"denial","Denied - No Records Found with Information Provided","In regard to the document(s) which you requested, this unit is unable to locate records responsive to your request based on the information you provided.","0056","True"
"denial","Denied - Non-Routine Procedures Request","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(e)(iv) as such information, if disclosed, would reveal non-routine techniques and procedures.","0056","True"
"denial","Denied - Not Final Agency Policy / Determination","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(g)(iii) as such these records do not represent a final agency determination.","0056","True"
"denial","Denied - Not Indexed","In regard to the document(s) which you requested, the Department does not maintain records in the manner you described.","0056","True"
"denial","Denied - Not Reasonably Described","The Freedom of Information Law allows access to existing documents and does not necessitate the creation of a document. I am unable to provide access to these documents on the basis that your request does not reasonably describe a record in a manner that would enable a search to be conducted by the New York City Police Department.","0056","True"
"denial","Denied - 50a","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers law Section87(2)(e) and Public Officers Law 87(2)(a), in that such records consist of Police Officer's personnel records and are therefore exempt from disclosure under the provisions of Civil Rights Law Section 50-a.","0056","True"
"denial","Denied - Personal Privacy Exemption","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(b) as such information, if disclosed, would constitute an unwarranted invasion of personal privacy.","0056","True"
"denial","Denied - Refer to Division of Criminal Justice Services","The Freedom of Information Law allows access to documents reasonably described, not answer to interrogatories. Therefore, I am unable to answer your interrogatory regarding criminal histories. However, the information you seek may be available from the New York State Division of Criminal Justice Services, Alfred E. Smith Building, 80 South Swan St., Albany, NY 12210.","0056","True"
"denial","Denied - Refer to FDNY","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the document(s) you requested may be available from the New York City Fire Department.","0056","True"
"denial","Denied - Sealed Record","I must deny access to the records you requested on the basis of Public Officers Law Section 87(2)(a). These records are sealed under court order, pursuant to Criminal Procedure Law Section 160.50 and can only be requested by the arrested person or their representative.<br><br>In order to release these records, this unit must receive a notarized affidavit from the arrested person or their representative within thirty (30) days of the date of this email, addressed to the attention of {{ user.title }} {{ user.last_name }} ({{ user.formatted_point_of_contact_number }}), who has been assigned to handle your case. Failure to do so will result in this file being CLOSED.","0056","True"
"denial","Denied - 50b","The documents you requested are protected under section 50(b) of the New York Civil Rights Law, it is therefore necessary to deny access to these records. In order to release these records, this unit must receive a notarized affidavit from the victim, within thirty (30) days of the date of this email, addressed to the attention of {{ user.title }} {{ user.last_name }} ({{ user.formatted_point_of_contact_number }}), who has been assigned to handle your case. Failure to do so will result in this file being CLOSED. You must notify this unit of any change of address. Failure to do so will render this unit unable to give you the documents(s) you requested.","0056","True"
"denial","Denied - Too Broad","In regard to the document(s) which you requested, I must deny access to the records on the basis that your request is too broad in nature and does not describe a specific document.","0056","True"
"denial","Denied - Unreadable","<span class=""mceNonEditable"">This is in response to your letter received on </span><span class=""mceEditable"">[DATE RECEIVED]</span><span class=""mceNonEditable"">. Your correspondence is being returned to you because it is illegible. A copy of your correspondence will be kept on file with this office. It has been assigned </span><span class=""mceEditable"">[REQUEST ID]</span><span class=""mceNonEditable"">. Please send a legible version of your correspondence so that we can respond accordingly.</span>","0056","True"
"denial","Denied - Active Judicial (§87(2)(e)(i))","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(e)(i) as such records/information, if disclosed would interfere with law enforcement investigations or judicial proceedings.","0056","True"
"denial","Denied - §87(2)(h)(i)","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(h) as such records/information are examination questions or answers which are requested prior to the final administration of such questions.","0056","True"
"denial","Denied - Kingsland","At this time I must deny your request. The facility that houses the records you seek sustained severe damage during Hurricane Sandy, therefore, the requisite search for such records is precluded at the current time. However, this denial will not act to prejudice any future request you may make for the same records once the facility becomes accessible.","0056","True"
"denial","Denied - Collision Report","The document(s) which you request may be available from the NYPD Collision Report Website (<a href=""https://collisionreport.nypdonline.org"">https://collisionreport.nypdonline.org</a>)","0056","True"
"denial","Denied - ICCU","In regard to the records you requested, these documents should be requested directly from the Inter City correspondence Unit (ICCU), Room 814, One Police Plaza, New York, NY, 10038, email: <a href=""mailto:iccu@nypd.org"">ICCU@NYPD.ORG</a>","0056","True"
"denial","Denied - Intra-Agency","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law section 87(2)(g)(iii) as such records/information are inter-agency or intra-agency materials which are not final agency policy or determinations.","0056","True"
"denial","Denied - Refer to Agency (Blank)","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the document(s) you requested may be available from: ","0056","True"
"denial","Denied - Refer to Dept. of Corrections","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the document(s) you requested may be available from the New York City Department of Corrections.","0056","True"
"denial","Denied - Refer to Dept. of Transportation","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the document(s) you requested may be available from the New York City Department of Transportation.","0056","True"
"re-opening","Additional Information","This request has been re-opened to provide additional information to the requester. This may have been done because information was mistakenly left as private or did not successfully get added to the request.","","True"
"re-opening","Appeal","This request has been re-opened in response to an appeal.","","True"
"denial","Denied - BWC Exemption","Pursuant to an order by the Appellate Division First Judicial Department dated July 3, 2018, in the case of Patrolmen's Benevolent Association of the City of New York, Inc. v. Bill de Blasio in his official capacity as Mayor of the City of New York, James P. O'Neil in his official capacity as Commissioner of the City of New York Police Department, and New York City Police Department, Appelate Division of the Supreme Court of New York County, M-2522, M-2667, Index 150181/2018, the New York City Police Department is enjoined from releasing body camera footage absent compliance with N.Y. Civil Rights Law 50-a.<br><br>If there is a need for body camera footage while the stay is in effect, one should, on notice, petition either a Justice of the Supreme Court or the Appellate Division, requesting an order modifying the stay for a particular video(s).","0056","True"
"denial","Denied - Notary","<span class=""mceNonEditable"">In regard to the document(s) which you requested, it is necessary for you to provide this office with a notarized affidavit from your client/victim, authorizing the release of the requested documents.<br><br>Name: </span><span class=""mceEditable"">_______________________________________</span>","0056","True"
"denial","Denied - Confidential Information","In regard to the document(s) which you have requested, I must deny access to these records on the basis of Public Officers Law section 87(2)(e)(iii) as such records/information, if disclosed, would identify a confidential source or disclose confidential information relating to a criminal investigation.","0056","True"
"denial","Denied - Refer to DoITT","In regard to the document(s) which you have requested, I am unable to provide access to these records, for these records are not in the possession, custody or control of this Department. It appears the document(s) you requested may be available from the Department of Information Technology & Telecommunications.","0056","True"
"denial","Denied - Parent Affidavit","In regard to the document(s) which you requested, it is necessary for you to provide this office with a notarized affidavit as the victim’s parent or legal guardian authorizing release of the requested documents. You must provide this affidavit to this unit within thirty (30) days of the date of this email to enable us to search for possible records. Failure to do so will result in this file being CLOSED.","0056","True"
"denial","Denied - Civilian Collision Report-MV-104","The document(s) which you request may be available from the NYS Department of Motor Vehicle's Website (<a href=""https://dmv.ny.gov/get-accident-report"">https://dmv.ny.gov/get-accident-report</a>). These reports cannot be obtained via the New York Police Department.","0056","True"
"denial","Denied - No Records Available","Your request under the Freedom of Information Law (FOIL) is being closed. Your request is being fulfilled in part and denied in part. The Department is releasing a copy of the records we located. All other requested records were not found.","0810","True"
"denial","Denied - State/Federal Statute 87(2)(a)","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(a), in that such records are specifically exempted from disclosure by state or federal statute.","0056","True"
"denial","Public Officers Law sec. 87(2)(a) - State/Federal Statute","Your request under the Freedom of Information Law (FOIL) is denied because the records you requested are exempt from disclosure under FOIL because they are specifically exempted from disclosure by state or federal statute. Public Officers Law sec. 87(2)(a).","","True"
"denial","Public Officers Law secs. 87(2)(b) and 89(2)(b) - Personal Privacy","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because disclosure would constitute an unwarranted invasion of personal privacy. Public Officers Law secs. 87(2)(b) and 89(2)(b).","","True"
"denial","Public Officers Law sec. 87(2)(c) - Contract Awards/Collective Bargaining","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they would impair present or imminent contract awards or collective bargaining negotiations. Public Officers Law sec. 87(2)(c).","","True"
"denial","Public Officers Law sec. 87(2)(d) - Trade Secrets/Commercial Enterprise","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they are trade secrets or have been submitted by a commercial enterprise or derived from information obtained from a commercial enterprise and which if disclosed would cause substantial injury to the competitive position of the subject enterprise. Public Officers Law sec. 87(2)(d).","","True"
"denial","Public Officers Law sec. 87(2)(e)(i) - Law Enforcement/Judicial Proceedings","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they were compiled for law enforcement purposes and disclosure would interfere with law enforcement investigations or judicial proceedings. Public Officers Law sec. 87(2)(e)(i).","","True"
"denial","Public Officers Law sec. 87(2)(e)(ii) - Fair Trial/Impartial Adjudication","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they were compiled for law enforcement purposes and disclosure would deprive a person of a right to a fair trial or impartial adjudication. Public Officers Law sec. 87(2)(e)(ii).","","True"
"denial","Public Officers Law sec. 87(2)(e)(iii) - Confidential Source/Information","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they were compiled for law enforcement purposes and if disclosed would identify a confidential source or disclose confidential information relating to a criminal investigation. Public Officers Law sec. 87(2)(e)(iii).","","True"
"denial","Public Officers Law sec. 87(2)(e)(iv) - Investigative Techniques/Procedures","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they were compiled for law enforcement purposes and would reveal criminal investigative techniques or procedures that are not routine. Public Officers Law sec. 87(2)(e)(iv).","","True"
"denial","Public Officers Law sec. 87(2)(f) - Endanger Life/Safety","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because if disclosed the records could endanger the life or safety of any person. Public Officers Law sec. 87(2)(f).","","True"
"denial","Public Officers Law sec. 87(2)(g) - Inter-Agency/Intra-Agency Materials","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they are inter-agency or intra-agency materials which are not: statistical or factual tabulations or data; instructions to staff that affect the public; final agency policy or determinations or external audits. Public Officers Law sec. 87(2)(g).","","True"
"denial","Public Officers Law sec. 87(2)(h) - Examination Questions/Answers","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they are examination questions or answers that were requested prior to the final administration of the examination. Public Officers Law sec. 87(2)(h).","","True"
"denial","Public Officers Law sec. 87(2)(i) - Information Technology Assets","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because if disclosed, the records would jeopardize the capacity of the agency or an entity that has shared information with the agency to guarantee the security of its information technology assets encompassing both electronic information systems and infrastructure. Public Officers Law sec. 87(2)(i).","","True"
"denial","Public Officers Law sec. 87(2)(j)-(r) - Vehicle/Traffic Law","Your request under the Freedom of Information Law (FOIL) is denied on the ground that the records you requested are exempt from disclosure under FOIL because they are photographs, microphotographs, videotapes, or other recorded images prepared under the authority of the vehicle and traffic law. Public Officers Law sec. 87(2)(j)-(r).","","True"
"closing","Closed - Appeal Fulfilled","Your appeal of the denial of access to records requested under the Freedom of Information Law (FOIL) has been reviewed and the documents you requested have been posted on the OpenRecords portal. You may seek judicial review of this determination by commencing an Article 78 proceeding within four months of the date of this decision.","0056","False"
"closing","Closed - Personal Privacy - Redacted","Redactions have been made to the document(s) in that release of information would represent an unwarranted invasion of personal privacy {¤§ 87.2 (b)}.","0072","True"
"closing","Closed - Endanger - Redacted","Redactions have been made to the document(s) in that release of information would endanger the life and safety of any person {¤§ 87.2 (f)}.","0072","True"
"closing","Closed - Non-Routine Investigative Techniques - Redacted","Redactions have been made to the document(s) in that release of information would reveal non-routine investigative techniques {¤§ 87.2 (e)(iv)}.","0072","True"
"closing","Closed - Final Agency Determination - Redacted","Redactions have been made to the document(s) in that release of information does not represent final agency determination {¤§87.2 (g)(iii)}.","0072","True"
"closing","Closed - Confidential Source - Redacted","Redactions have been made to the document(s) in that release of information would identify confidential source/confidential information {¤§87 .2 (e)(iii)}.","0072","True"
"closing","Closed - Document Found","Based on the information you provided, this unit conducted a diligent search and was only able to locate the following documents:<p class=""mceEditable""></p>","0072","True"
"denial","Denied - Duplicate Request","<span class=""mceNonEditable"">The records were previously requested by you and are being denied as a duplicate request </span><span class=""mceEditable"">[DUPLICATE FOIL REQUEST #]</span>.","0072","True"
"denial","Denied - Refer to Court","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the information you seek may be available from the Court of original jurisdiction.","0072","True"
"denial","Denied - Refer to NYPD","The NYC Department of Correction (DOC) does not maintain or possess police and/or arrest reports. Please resubmit your request to the New York City Police Department (NYPD) via the NYC Open Records portal.","0072","True"
"denial","Denied - Refer to CHS","The NYC Department of Correction (DOC) does not maintain or possess person in custody medical records. If you are seeking medical records, please resubmit your request to NYC Health & Hospitals Correctional Health Services (CHS) Medical Records Unit via e-mail to: <a href=""mailto:CHSMedicalRecords@nychhc.org"">CHSMedicalRecords@nychhc.org</a>","0072","True"
"denial","Denied - Refer to OCA","The NYC Department of Correction (DOC) does not maintain or possess Court records. Please resubmit your request to the New York State Office of Court Administration (OCA) via e-mail to: <a href=""mailto:foil@nycourts.gov"">foil@nycourts.gov</a>","0072","True"
"denial","Denied - Not Indexed","In regard to the document(s) which you requested, the Department does not maintain records in the manner you described.","0072","True"
"denial","Denied - Not Reasonably Described","The Freedom of Information Law allows access to existing documents and does not necessitate the creation of a document. I am unable to provide access to these documents on the basis that your request does not reasonably describe a record in a manner that would enable a search to be conducted by the NYC Department of Correction (DOC).","0072","True"
"denial","Denied - Too Broad","In regard to the document(s) which you requested, I must deny access to the records on the basis that your request is too broad in nature and does not describe a specific document.","0072","True"
"denial","Denied - Active Judicial (¤§87(2)(e)(i))","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law Section 87(2)(e)(i) as such records/information, if disclosed would interfere with law enforcement investigations or judicial proceedings.","0072","True"
"denial","Denied - Intra-Agency","In regard to the document(s) which you requested, I must deny access to these records on the basis of Public Officers Law section 87(2)(g)(iii) as such records/information are inter-agency or intra-agency materials which are not final agency policy or determinations.","0072","True"
"denial","Denied - Reasons Attached (No Appeals Language)","Your request under the Freedom of Information Law (FOIL) is denied. Please see the attached determination letter.","0072","False"
"denial","Archived Records/Case Over 25 Years Old - JUD 89; POL 89(3)","Our records indicate that the subject case files, which are over 25 years old, have been archived in accordance with City retention laws and are no longer in the possession of or maintained by this office. Judiciary Law § 89. FOIL does not “require any entity to prepare any record not possessed or maintained by such entity.” Public Officers Law § 89(3)(a).<br><br>You may wish to send your request directly to the NYC Department of Records & Information Services located at 31 Chambers Street, Suite 305, New York, NY 10007 or email your request to: research@records.nyc.gov. Additionally, please be advised that in order for them to identify and locate the requested case, you will need to provide the defendant’s name(s) or case number(s) in your request.","0901","False"
"denial","Attorney Work Product - POL 87(2)(a); CPLR 3101","Access is denied to records that which constitute attorney work-product, which is defined as material that encompasses mental impressions, opinions, legal theories, notes, instructions, directives, and internal communications of an attorney. Such records are intended solely for use within the office and are exempt from production. Public Officers Law § 87(2)(a); Civil Practice Law & Rules § 3101.","0901","False"
"denial","Autopsy/Medical Examiner (OCME) Records - POL 87(2)(a); NYC Charter 557(g)","Access is denied to any records of the Office of Chief Medical Examiner (OCME), including autopsy reports and photographs, because they are exempt from FOIL disclosure under the City Charter. Public Officers Law §87(2)(a); NYC Charter § 557(g).","0901","False"
"denial","Cannot Locate Records/Arrest Voided by NYPD - POL 89(3)","Your request is necessarily denied as our system indicates the arrest was voided by the New York Police Department. As such, this agency does not possess paperwork connected to your request. Public Officers Law § 89(3)(a).","0901","False"
"denial","Cannot Locate Records/Not Required to Create a New Record - POL 89(3)","Your request is necessarily denied since the document you describe is not a record maintained by this office. Public Officers Law § 89(3)(a).","0901","False"
"denial","Cannot Locate Records/Records Not Reasonably Described in General - POL 89(3)","Your request for records is denied because we cannot locate or identify responsive records. Public Officers Law § 89(3)(a).","0901","False"
"denial","Cannot Locate Records/Records Not Reasonably Described/Requires Analysis or Speculation - POL 89(3)","Your request is denied because the request does not reasonably describe a record such that a Records Access Officer can identify the requested record without investigation, speculation or analysis. Public Officers Law (POL) § 89(3)(a).","0901","False"
"denial","Cannot Locate Records/Request for Information, Not Records - POL 89(3)","FOIL does not require an agency to provide information or answer questions, but only to make existing records available upon request where such records do not fall under one or more grounds for denial. Public Officers Law §89(3)(a).","0901","False"
"denial","Cannot Locate Records/Unable to Locate or Identify Case With Information Provided - POL 89(3)","Your request for records is denied because, despite conducting a diligent search with the information provided, we were unable to identify a case which matches the information you provided. Public Officers Law § 89(3)(a).","0901","False"
"denial","Department of Motor Vehicle Records - POL 87(2)(a)+(j)-(r); VTL 313(4)(h); 18 USC 2721(b)(1-14)","Access is denied to records prepared or maintained by the Department of Motor Vehicles as they are exempt from production under FOIL by statute. Public Officers Law §87(2)(a); Vehicle and Traffic Law § 313 (4)(h); 18 USC § 2721(b)(1-14).","0901","False"
"denial","Department of Social Services Records - POL 87(2)(a); SSL 422(4)(a)","Access is denied to Department of Social Services records pertaining to minors as they are confidential in nature and specifically exempted from disclosure by statute. Public Officers Law § 87(2)(a); Social Services Law § 422(4)(a).","0901","False"
"denial","Education Records - POL 87(2)(a); FERPA 20 USC 1232g; 34 CFR Part 99","Access is denied to education records because they are confidential records whose disclosure is barred by statute. Public Officers Law §87(2)(a); Family Education Right and Privacy Act, 20 USC § 1232g; 34 Code of Federal Regulations Part 99.","0901","False"
"denial","Grand Jury Records - POL 87(2)(a); CPL 190.25(4)(a)","Access is denied to any materials attending a grand jury proceeding, including records obtained by grand jury subpoena and the subpoenas themselves, which are exempt to preserve the secrecy of the grand jury. Public Officers Law §87(2)(a); Criminal Procedure Law § 190.25(4)(a).","0901","False"
"denial","Intra-Agency Deliberative Material - POL 87(2)(g)","Access is denied to records that constitute deliberative intra-agency communications and that do not fall under one of the exceptions under Public Officers Law § 87(2)(g).","0901","False"
"denial","Law Enforcement/Rap Sheet & CJA - POL 87(2)(a)+(g)(i)-(iii), 89(2)(b)(viii); 9 NYCCRR 6150.4","Access is denied to “rap” sheets and the New York City Criminal Justice Agency interview reports because these constitute inter-agency records compiled solely for law enforcement purposes, that which are exempt from FOIL by statute. Public Officers Law §§ 87(2)(a)+(g)(i)-(iii), 89(2)(b)(viii); 9 New York Codes, Rules and Regulations § 6150.4 (a)(b)(e)","0901","False"
"denial","Law Enforcement/Non-routine Techniques - POL 87(2)(e)(iv)","Access is denied to records which would reveal non-routine law enforcement and/or criminal investigative techniques, which are exempt from disclosure under FOIL pursuant to Public Officers Law § 87(2)(e)(iv).","0901","False"
"denial","Law Enforcement/Wiretaps - POL 87(2)(a)+(e); CPL 700.55 + 705.30; 18 USC 2703","Access is denied to any record pertaining to eavesdropping, wiretapping, pen registers, and trap/trace devices since such records are sealed by statute and only available pursuant to court order. Public Officers Law § 87(2)(a)+(e); Criminal Procedure Law §§ 700.55, 705.30; Title 18 USC § 2703.","0901","False"
"denial","Law Enforcement/Confidential Sources - POL 87(2)(e)(iii)+(iv)","Access is denied any material compiled for law enforcement purposes that would identify a confidential source or disclose confidential information relating to an investigation. Public Officers Law § 87(2)(e)(iii)+(iv).","0901","False"
"denial","Medical & Mental Health Records - POL 87(2)(a); CPLR 4504, 4507, 4508; MHL 33.13; PHL 2803-c(3)(f), 2805(g)","Access is denied to medical and mental health records because they are confidential records whose disclosure, absent a signed waiver from the subject of the records, would violate state statute and constitute an unwarranted invasion of privacy. Public Officers Law § 87(2)(a)+(b); Civil Practice Law and Rules §§ 4504, 4507, 4508; Mental Hygiene Law § 33.13; Public Health Law §§ 2803-c(3)(f), 2805(g).","0901","False"
"denial","Mugshots & Booking Photos - POL 87(2)(b)+(g), 89(2)(b)(viii)","Access is denied to mugshots and/or booking photos because they are compiled for law enforcement purposes only and constitute inter-agency documents that are exempt from public disclosure under Public Officers Law §§ 87(2)(b)+(g); 89(2)(b)(viii).","0901","False"
"denial","Pending Proceedings/Appeal - POL 87(2)(e)(i)","Your request is denied because disclosure of records would interfere with a pending appeal, or with any further investigation and future judicial proceedings that might be necessary. Public Officers Law § 87(2)(e)(i).","0901","False"
"denial","Pending Proceedings/General - POL 87(2)(e)(i)","Your request is denied because disclosure of records would interfere with a pending case, or with any further investigation and future judicial proceedings that might be necessary. Public Officers Law § 87(2)(e)(i).","0901","False"
"denial","Physical Evidence - Definition of a Record - POL 86(4)","Access is denied since physical evidence does not fall within the statutory definition of a “record” subject to FOIL. Public Officers Law § 86(4).","0901","False"
